idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
66,2023-01-01,Group stage,92,191,Volksparkstadion (1953),1,0,1,0,0,0.0,0.0,100.0,100.0,0.0,40.0,50.0,0.0,50.0,0.4,0.5,1.8,364.0960163432073,17.33790554015273,20.0,33.33,0.0,66.67,0.2,0.33,1.2,371.4504596527068,18.57252298263534
67,2023-01-01,Group stage,15,68,Etihad Stadium,3,2,1,0,0,60.0,20.0,20.0,60.0,20.0,77.78,75.0,0.0,25.0,0.78,0.75,2.78,748.7742594484166,29.950970377936663,57.14,50.0,0.0,50.0,0.57,0.5,1.71,497.8038815117466,21.643647022249855
68,2023-01-01,Group stage,2,14,Stadio Giuseppe Meazza,1,3,0,0,1,0.0,100.0,0.0,0.0,0.0,40.0,50.0,50.0,0.0,0.4,0.5,0.8,377.7323799795709,16.42314695563352,36.36,50.0,50.0,0.0,0.36,0.5,1.09,642.4923391215527,27.934449527024032
69,2023-01-01,Group stage,28,307,Parc des Princes,1,1,0,1,0,100.0,0.0,0.0,0.0,100.0,45.45,60.0,20.0,20.0,0.45,0.6,1.64,698.6210418794687,33.267668660927086,20.0,33.33,0.0,66.67,0.2,0.33,1.0,385.64862104187944,16.76733134964693
70,2023-01-01,Group stage,22,24,Stadion Feijenoord,1,3,0,0,1,100.0,0.0,0.0,0.0,100.0,40.0,100.0,0.0,0.0,0.4,1.0,1.6,412.00204290091926,17.166751787538303,44.44,80.0,0.0,20.0,0.44,0.8,2.22,677.9366700715015,30.815303185068252
71,2023-01-01,Group stage,67,20,Stadion Wankdorf,2,0,1,0,0,0.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,0.0,0.0,1.0,357.5076608784474,15.54381134254119,0.0,0.0,33.33,66.67,0.0,0.0,1.4,374.8212461695607,17.03732937134367
72,2023-01-01,Group stage,5,12,Estadi Olímpic Lluís Companys,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,55.56,75.0,0.0,25.0,0.56,0.75,2.0,676.8130745658835,27.072522982635345,85.71,75.0,0.0,25.0,0.86,0.75,2.14,533.2482124616955,21.329928498467822
73,2023-01-01,Group stage,80,21,Estadio Ramón Sánchez Pizjuán,2,3,0,0,1,0.0,100.0,0.0,0.0,0.0,0.0,0.0,50.0,50.0,0.0,0.0,1.0,368.99897854954037,15.374957439564179,14.29,25.0,75.0,0.0,0.14,0.25,0.86,528.3963227783452,24.018014671742968
74,2023-01-01,Group stage,10,7,Estádio do Sport Lisboa e Benfica,3,3,0,1,0,33.33,33.33,33.33,0.0,66.67,20.0,0.0,0.0,100.0,0.2,0.0,0.8,376.7620020429009,17.125545547404585,71.43,75.0,25.0,0.0,0.71,0.75,1.0,540.2962206332993,24.55891911969542
75,2023-01-01,Group stage,308,470,Estádio Municipal de Braga,1,1,0,1,0,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,1.0,397.6506639427987,17.289159301860813,0.0,0.0,0.0,100.0,0.0,0.0,1.0,367.1603677221654,17.48382703438883
76,2023-01-01,Group stage,31,328,Emirates Stadium,6,0,1,0,0,100.0,0.0,0.0,0.0,100.0,33.33,50.0,25.0,25.0,0.33,0.5,1.44,688.3043922369765,29.92627792334681,40.0,66.67,33.33,0.0,0.4,0.67,1.2,373.13585291113367,18.65679264555669
77,2023-01-01,Group stage,50,8,RAMS Park,3,3,0,1,0,66.67,0.0,33.33,66.67,33.33,20.0,0.0,50.0,50.0,0.2,0.0,1.4,402.34933605720124,20.117466802860058,20.0,33.33,0.0,66.67,0.2,0.33,1.8,380.7456588355464,15.864402451481105
