idPartido,Temporada,Ronda,Local,Visitante,Evento,GolesLocal,GolesVisitante,VictoriaLocal,Empate,VictoriaVisitante,%_Victorias_Local,%_Empate,%_Victoria_Visitante,%_Equipo1_Ganado,%_Equipo2_Ganado,%_1_G_Temporada,%_1_G_Temporada_L,%_1_E_Temporada_L,%_1_P_Temporada_L,1_Media_G,1_Media_G_Local,1_Media_Goles_PP,1_ValorJugadores,1_MediaJugadores,%_2_G_Temporada,%_2_G_Temporada_L,%_2_E_Temporada_L,%_2_P_Temporada_L,2_Media_G,2_Media_G_Local,2_Media_Goles_PP,2_ValorJugadores,2_MediaJugadores
84,2023-01-01,Group stage,153,50,Fælledparken Kunst,1,0,1,0,0,66.67,33.33,0.0,33.33,33.33,14.29,33.33,0.0,66.67,0.14,0.33,1.29,0.0,,20.0,0.0,66.67,33.33,0.2,0.0,2.0,0.0,
85,2023-01-01,Group stage,7,69,Stadio Giuseppe Meazza,0,0,0,1,0,0.0,100.0,0.0,0.0,0.0,71.43,100.0,0.0,0.0,0.71,1.0,1.43,0.0,,42.86,25.0,50.0,25.0,0.43,0.25,1.14,0.0,
86,2023-01-01,Group stage,184,10,Red Bull Arena,1,3,0,0,1,0.0,0.0,100.0,100.0,0.0,20.0,0.0,0.0,100.0,0.2,0.0,0.6,0.0,,0.0,0.0,33.33,66.67,0.0,0.0,0.8,0.0,
87,2023-01-01,Group stage,470,1,Olympiastadion Berlin,2,3,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.8,0.0,,63.64,50.0,50.0,0.0,0.64,0.5,1.73,0.0,
88,2023-01-01,Group stage,90,308,Stadio Diego Armando Maradona,2,0,1,0,0,0.0,0.0,100.0,100.0,0.0,28.57,0.0,66.67,33.33,0.29,0.0,1.43,0.0,,20.0,0.0,33.33,66.67,0.2,0.0,1.2,0.0,
89,2023-01-01,Group stage,68,67,Red Bull Arena,2,1,1,0,0,0.0,0.0,100.0,100.0,0.0,42.86,33.33,0.0,66.67,0.43,0.33,1.71,0.0,,20.0,33.33,0.0,66.67,0.2,0.33,1.2,0.0,
90,2023-01-01,Group stage,20,15,Stadion Rajko Mitić,2,3,0,0,1,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,1.0,0.0,,77.78,80.0,0.0,20.0,0.78,0.8,2.78,0.0,
91,2023-01-01,Group stage,307,2,St James' Park,1,2,0,0,1,0.0,100.0,0.0,0.0,0.0,20.0,50.0,0.0,50.0,0.2,0.5,1.0,0.0,,20.0,33.33,33.33,33.33,0.2,0.33,0.6,0.0,
92,2023-01-01,Group stage,12,92,Estádio Do Dragão,5,3,1,0,0,20.0,40.0,40.0,60.0,0.0,71.43,66.67,0.0,33.33,0.71,0.67,1.57,0.0,,60.0,66.67,0.0,33.33,0.6,0.67,1.4,0.0,
93,2023-01-01,Group stage,16,22,Celtic Park,2,1,1,0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,50.0,50.0,0.0,0.0,0.6,0.0,,40.0,66.67,0.0,33.33,0.4,0.67,1.6,0.0,
94,2023-01-01,Group stage,191,5,Bosuilstadion,3,2,1,0,0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.0,100.0,0.0,0.0,0.6,0.0,,66.67,80.0,0.0,20.0,0.67,0.8,2.0,0.0,
95,2023-01-01,Group stage,14,28,Signal Iduna Park,1,1,0,1,0,60.0,40.0,0.0,20.0,40.0,45.45,60.0,40.0,0.0,0.45,0.6,1.27,0.0,,45.45,50.0,33.33,16.67,0.45,0.5,1.64,0.0,
96,2023-01-01,Group stage,24,99,Stadium Metropolitano,2,0,1,0,0,0.0,100.0,0.0,0.0,0.0,44.44,75.0,0.0,25.0,0.44,0.75,2.33,0.0,,57.14,75.0,25.0,0.0,0.57,0.75,1.14,0.0,
